	...1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type
102	Schil_g4599	26.4303980292495	-2.19538989298219	0.594698711920766	-3.69160021532834	0.00022284755701784	0.0017572944035968	down
103	Schil_g4694	244.834211400069	-2.2243155649359	0.327879013922707	-6.78395222165774	1.169320137073e-11	4.83756296708103e-09	down
104	Schil_g5016	54.3709536634262	-2.14558842039858	0.401356372919504	-5.34584365707554	8.99968670265784e-08	3.73233950734676e-06	down
105	Schil_g516	177.924326889643	-2.30307854212716	0.514177086542259	-4.47915436608605	7.4939326707747e-06	0.00011868542106599	down
106	Schil_g5285	69.6576381538339	-2.00536634342916	0.383269643541168	-5.23225978687185	1.6745018523588e-07	6.18799573414162e-06	down
107	Schil_g5337	108.713240783098	-2.17494368479314	0.488056711602567	-4.45633393228334	8.33731302647808e-06	0.00012930660483269	down
108	Schil_g5375	35.369671208099	-2.23596590620225	0.538067930184327	-4.1555457606185	3.24511983859841e-05	0.00037731146340104	down
109	Schil_g5529	132.864989029705	-2.09767784504486	0.613105861647638	-3.42139584085469	0.00062300583608254	0.00399222704632873	down
110	Schil_g5836	183.948389256267	-2.3251791457067	0.425239986154319	-5.46792216492759	4.5534173869706e-08	2.21939844016653e-06	down
111	Schil_g6009	549.182084174617	-2.14600072949469	0.443140199560684	-4.84271282908246	1.28078330671679e-06	2.98825948397938e-05	down
112	Schil_g6046	2772.79957761461	-2.21108345733689	0.367679529926675	-6.01361587298003	1.81430137321267e-09	1.93548301210273e-07	down
113	Schil_g6644	92.602802142213	-2.32027394128423	0.353412979279329	-6.56533312957458	5.19166637766851e-11	1.63076009440765e-08	down
114	Schil_g6695	732.364207917622	-2.23979004918213	0.467172800459749	-4.79435028532898	1.63202892443399e-06	3.64243087055912e-05	down
115	Schil_g6746	684.224647820173	-2.03381386309464	0.356438225655301	-5.70593644762857	1.15705167294994e-08	7.95566888385551e-07	down
116	Schil_g728	80.9799212400505	-2.30057818561469	0.579986094314546	-3.96660921385299	7.29023776934056e-05	0.00072349228780725	down
117	Schil_g7290	642.435991002626	-2.15321989123794	0.654615283930411	-3.28929058654066	0.00100440267665247	0.00581456593903724	down
118	Schil_g7401	122.873905272087	-2.70098130031029	0.494726283975255	-5.4595467995094	4.77351500835725e-08	2.29613292815299e-06	down
119	Schil_g8717	156.508927463752	-2.19345995701863	0.464717249196912	-4.71998825266158	2.35858263973853e-06	4.81423330147351e-05	down
120	Schil_g8917	38.6143307314035	-2.02483872404021	0.524694752021575	-3.85907942901809	0.00011381494458106	0.00102361033403184	down
121	Schil_g9054	25.2186466373989	-2.08034926712733	0.442685787119671	-4.69938120368196	2.60950963078075e-06	5.244372317216e-05	down
122	Schil_g9117	112.735107642727	-2.79382064036018	0.785070594079583	-3.55868715683544	0.0003727131579018	0.00265071722613432	down
123	Schil_g9184	307.228103014053	-2.03263072238465	0.323464894575601	-6.28392989926013	3.3011960827087e-10	5.64076602323734e-08	down
124	Schil_g9284	376.594440015463	-2.18144666862219	0.498814933819096	-4.37325853883382	1.22405617945991e-05	0.00017432779946262	down
125	Schil_g9323	258.788961032629	-2.12709520951322	0.47827925040868	-4.44739178564753	8.69192215038636e-06	0.00013366489892552	down
126	Schil_g9635	14.8794898952091	-2.03192836228507	0.741370921134619	-2.74077159537811	0.0061295100290894	0.0247015322198656	down
127	Schil_g9651	403.243085757058	-3.50904165973563	0.525755139685505	-6.67428883688073	2.48433902217393e-11	9.17141823519671e-09	down
128	Schil_g9852	240.169742576258	-2.21605123590339	0.306521358248638	-7.22967968224196	4.84134569104427e-13	3.67367908708227e-10	down
129	Schil_g9971	62.6836145520632	-2.79503477833842	0.531819358246972	-5.2556093248498	1.47535180255084e-07	5.5610927277483e-06	down
